school,homepage,name,areas
University of Warsaw,http://www.mimuw.edu.pl/~rytter/,Wojciech Rytter,"[""act""]"
Stanford University,http://csl.stanford.edu/~pal/,Philip Levis,"[""ops"",""mobile"",""graph"",""comm"",""plan"",""arch""]"
University of Michigan,https://web.eecs.umich.edu/~mihalcea/,Rada Mihalcea,"[""ai"",""nlp"",""vision""]"
University College London,http://cmic.cs.ucl.ac.uk/staff/dean_barratt/,Dean C. Barratt,
University of California - Irvine,http://faculty.uci.edu/profile.cfm?faculty_id=3266,Amelia C. Regan,"[""ai""]"
University of Oxford,https://www.cs.ox.ac.uk/people/vojtech.forejt/,Vojtech Forejt,"[""log""]"
Columbia University,http://www.cs.columbia.edu/~martha/,Martha A. Kim,"[""hpc"",""arch""]"
Northeastern University,http://www.ccs.neu.edu/home/luwang/,Lu Wang,"[""nlp"",""ir"",""ai"",""robotics"",""comm"",""vision"",""mod""]"
University of Waterloo,https://cs.uwaterloo.ca/faculty-staff/contacts/daniel-vogel,Daniel Vogel 0001,"[""chi""]"
Emory University,http://www.google.com/search?q=Joyce%20C.%20Ho%20Emory%20University&btnI,Joyce C. Ho,"[""mlmining""]"
University of Warsaw,http://www.google.com/search?q=Andrzej%20Janusz%20University%20of%20Warsaw&btnI,Andrzej Janusz,
Imperial College London,http://www.doc.ic.ac.uk/~pjm,Peter McBrien,
Indiana University,http://cogs.indiana.edu/people/profile.php?u=dughof,Douglas Hofstadter,
University of Southern California,http://web.cmb.usc.edu/people/tingchen/,Ting Chen,"[""bio"",""mlmining"",""ai"",""robotics"",""da"",""act"",""vision"",""mod""]"
Carnegie Mellon University,https://www.cs.cmu.edu/~hgeyer/,Hartmut Geyer,"[""robotics""]"
UNSW,http://www.cse.unsw.edu.au/~hpaik/,Hye-Young Paik,
DIKU,http://www.google.com/search?q=Pernille%20Bj%C3%B8rn%20DIKU&btnI,Pernille Bjørn,"[""chi""]"
Massachusetts Institute of Technology,http://people.csail.mit.edu/karger/,David R. Karger,"[""nlp"",""ops"",""mobile"",""chi"",""ir"",""metrics"",""ai"",""comm"",""act"",""sec"",""mlmining"",""mod""]"
Monash University,http://monash.edu/research/explore/en/persons/robert-meredith(d68a8248-25e6-42e7-a8df-a4cba6db333a).html,Rob Meredith,
Harvard University,http://grosz.seas.harvard.edu/,Barbara J. Grosz,"[""ai"",""chi""]"
University of Rochester,http://www.cs.rochester.edu/u/jluo/,Jiebo Luo,"[""ai"",""nlp"",""ir"",""vision""]"
Oregon State University,http://eecs.oregonstate.edu/people/fern-alan,Alan Paul Fern,"[""ai""]"
University of California - San Diego,http://www.math.ucsd.edu/~sbuss/,Sam Buss,
Simon Fraser University,http://www.cs.sfu.ca/~ester/,Martin Ester,"[""ai"",""mlmining"",""ir"",""nlp"",""mod""]"
Australian National University,http://wwwmaths.anu.edu.au/~brent/,Richard P. Brent,
TU Darmstadt,http://www.cryptoplexity.informatik.tu-darmstadt.de/members/marcfischlin/marcfischlin.en.jsp,Marc Fischlin,"[""crypt"",""sec""]"
New York University,http://cs.nyu.edu/goldberg/,Benjamin Goldberg,"[""robotics""]"
University of British Columbia,https://www.cs.ubc.ca/people/william-evans,William Evans,
University of California - Santa Cruz,https://www.researchgate.net/profile/Charles_Mcdowell,Charles E. McDowell,
University of Washington,http://www.cs.washington.edu/people/faculty/tanimoto,Steve Tanimoto,
University of California - San Diego,http://jacobsschool.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=199,Ingolf H. Krüger,"[""soft""]"
Emory University,http://www.mathcs.emory.edu/~rodl/,Vojtech Rödl,"[""act""]"
University of Canterbury,http://www.cosc.canterbury.ac.nz/andrew.cockburn/,Andy Cockburn,"[""chi""]"
Yale University,http://www.cs.yale.edu/~piskac/,Ruzica Piskac,"[""log"",""plan""]"
Michigan State University,http://www.cse.msu.edu/~mckinley/,Philip K. McKinley,
Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~segev/,Gil Segev,"[""crypt"",""sec"",""act""]"
University of Delaware,https://www.eecis.udel.edu/~elloyd/,Errol L. Lloyd,"[""comm""]"
UNSW,http://www.cse.unsw.edu.au/~huiw/,Hui Wu,"[""arch"",""vision""]"
Colorado State University,http://www.cs.colostate.edu/~svr/,Sanjay V. Rajopadhye,"[""hpc"",""plan""]"
VU Amsterdam,http://www.victordeboer.com/,Victor de Boer,
Purdue University,https://www.math.purdue.edu/~lucier/,Bradley J. Lucier,
University of California - Berkeley,http://www.eecs.berkeley.edu/~luca,Luca Trevisan,"[""crypt"",""act""]"
University of Illinois - Chicago,https://www.cs.uic.edu/~drmark/,Mark Grechanik,"[""soft""]"
RWTH Aachen,http://www-i2.informatik.rwth-aachen.de/i2/eab/,Erika Ábrahám,"[""log"",""da""]"
University of Kent,https://www.cs.kent.ac.uk/people/staff/pfl/,Peter F. Linington,
Monash University,http://www.monash.edu/mime/research/profiles/schreiber.html,Falk Schreiber,
University of Salerno,http://www.di.unisa.it/~delmal/,Delfina Malandrino,
University of Toronto,http://www.cs.utoronto.ca/~fidler/,Sanja Fidler,"[""vision"",""mlmining""]"
TU Munich,http://www.in.tum.de/~nipkow,Tobias Nipkow,"[""log""]"
Johns Hopkins University,http://www.cs.jhu.edu/~vandurme/,Benjamin David Van Durme,
University of Kent,https://www.cs.kent.ac.uk/~iau,Ian Utting,
Arizona State University,https://optimization.asu.edu/,Guoliang Xue,"[""mobile"",""comm""]"
University of Illinois - Chicago,http://angusforbes.com/,Angus Forbes,
ETH Zurich,https://www.systems.ethz.ch/,Donald Kossmann,"[""mlmining"",""ops"",""ir"",""mod""]"
Northeastern University,http://www.ccs.neu.edu/home/bickmore/,Timothy W. Bickmore,"[""nlp"",""chi"",""graph""]"
University of Massachusetts - Lowell,http://www.google.com/search?q=Charlie%20Steele%20University%20of%20Massachusetts%20-%20Lowell&btnI,Charlie Steele,
Cornell University,http://tech.cornell.edu/people/ari-juels,Ari Juels,"[""comm"",""crypt"",""sec"",""da""]"
